0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
0,0,0,0,0,0,0,0.062244,0.524286,1.019844,1.390914,1.644678,1.781136,1.730862,1.551312,1.199394,0.69426,0.222642,0,0,0,0,0,0
0,0,0,0,0,0,0,0.05985,0.521892,1.019844,1.419642,1.730862,1.85535,1.802682,1.5561,1.194606,0.715806,0.20349,0,0,0,0,0,0
0,0,0,0,0,0,0,0.05985,0.519498,1.01745,1.441188,1.730862,1.857744,1.80747,1.563282,1.201788,0.734958,0.222642,0,0,0,0,0,0
0,0,0,0,0,0,0,0.057456,0.517104,1.015056,1.429218,1.733256,1.860138,1.812258,1.589616,1.20897,0.74214,0.229824,0,0,0,0,0,0
0,0,0,0,0,0,0,0.050274,0.51471,0.991116,1.417248,1.71171,1.864926,1.817046,1.589616,1.223334,0.746928,0.237006,0,0,0,0,0,0
0,0,0,0,0,0,0,0.04788,0.512316,1.012662,1.441188,1.738044,1.845774,1.797894,1.582434,1.225728,0.75411,0.244188,0,0,0,0,0,0
0,0,0,0,0,0,0,0.052668,0.500346,1.012662,1.431612,1.716498,1.850562,1.805076,1.563282,1.206576,0.725382,0.2394,0,0,0,0,0,0
0,0,0,0,0,0,0,0.052668,0.500346,1.012662,1.434006,1.733256,1.876896,1.83141,1.611162,1.240092,0.746928,0.260946,0,0,0,0,0,0
0,0,0,0,0,0,0,0.050274,0.509922,1.015056,1.434006,1.745226,1.87929,1.836198,1.618344,1.22094,0.756504,0.253764,0,0,0,0,0,0
0,0,0,0,0,0,0,0.040698,0.507528,1.012662,1.445976,1.74762,1.884078,1.840986,1.625526,1.230516,0.763686,0.260946,0,0,0,0,0,0
0,0,0,0,0,0,0,0.050274,0.507528,1.015056,1.44837,1.742832,1.888866,1.848168,1.632708,1.264032,0.770868,0.277704,0,0,0,0,0,0
0,0,0,0,0,0,0,0.04788,0.507528,1.015056,1.450764,1.754802,1.893654,1.852956,1.637496,1.271214,0.794808,0.277704,0,0,0,0,0,0
0,0,0,0,0,0,0,0.038304,0.507528,1.01745,1.453158,1.757196,1.898442,1.860138,1.644678,1.278396,0.80199,0.284886,0,0,0,0,0,0
0,0,0,0,0,0,0,0.038304,0.507528,1.015056,1.455552,1.761984,1.90323,1.86732,1.65186,1.285578,0.809172,0.296856,0,0,0,0,0,0
0,0,0,0,0,0,0,0.045486,0.507528,1.019844,1.457946,1.766772,1.910412,1.872108,1.659042,1.29276,0.816354,0.301644,0,0,0,0,0,0
0,0,0,0,0,0,0,0.045486,0.507528,1.019844,1.46034,1.77156,1.9152,1.87929,1.666224,1.299942,0.823536,0.306432,0,0,0,0,0,0
0,0,0,0,0,0,0,0.045486,0.471618,0.983934,1.405278,1.718892,1.905624,1.869714,1.673406,1.30473,0.823536,0.304038,0,0,0,0,0,0
0,0,0,0,0,0,0,0.045486,0.497952,1.022238,1.467522,1.761984,1.912806,1.87929,1.637496,1.311912,0.79002,0.318402,0,0,0,0,0,0
0,0,0,0,0,0,0,0.045486,0.509922,1.024632,1.469916,1.785924,1.931958,1.898442,1.690164,1.323882,0.845082,0.325584,0,0,0,0,0,0
0,0,0,0,0,0,0,0.045486,0.500346,1.02942,1.474704,1.790712,1.93914,1.908018,1.697346,1.331064,0.852264,0.330372,0,0,0,0,0,0
